amfi_code,date,nav
100001,2022-01-03,57.2306
100001,2022-01-04,54.3637
100001,2022-01-05,54.1086
100001,2022-01-06,53.5494
100001,2022-01-07,53.7153
100001,2022-01-10,53.1265
100001,2022-01-11,53.1875
100001,2022-01-12,52.9915
100001,2022-01-13,53.8379
100001,2022-01-14,54.3756
100001,2022-01-17,54.8519
100001,2022-01-18,54.9425
100001,2022-01-19,54.8901
100001,2022-01-20,53.5687
100001,2022-01-21,53.6207
100001,2022-01-24,53.8073
100001,2022-01-25,53.8838
100001,2022-01-26,53.5403
100001,2022-01-27,54.1377
100001,2022-01-28,54.0346
100001,2022-01-31,53.1452
100001,2022-02-01,54.7089
100001,2022-02-02,55.5882
100001,2022-02-03,55.6797
100001,2022-02-04,55.9523
100001,2022-02-07,55.4125
100001,2022-02-08,56.4401
100001,2022-02-09,56.1335
100001,2022-02-10,57.4128
100001,2022-02-11,57.0478
100001,2022-02-14,56.1992
100001,2022-02-15,57.5611
100001,2022-02-16,57.531
100001,2022-02-17,58.2253
100001,2022-02-18,58.0157
100001,2022-02-21,58.7251
100001,2022-02-22,57.9469
100001,2022-02-23,58.5991
100001,2022-02-24,58.0646
100001,2022-02-25,58.1292
100001,2022-02-28,58.6056
100001,2022-03-01,58.2838
100001,2022-03-02,57.8957
100001,2022-03-03,57.9565
100001,2022-03-04,58.1405
100001,2022-03-07,58.0912
100001,2022-03-08,58.2212
100001,2022-03-09,58.1036
100001,2022-03-10,58.135
100001,2022-03-11,56.1681
100001,2022-03-14,55.7244
100001,2022-03-15,55.7539
100001,2022-03-16,56.3058
100001,2022-03-17,57.7682
100001,2022-03-18,57.7266
100001,2022-03-21,58.9965
100001,2022-03-22,59.9165
100001,2022-03-23,60.7897
100001,2022-03-24,61.2381
100001,2022-03-25,60.94
100001,2022-03-28,59.8441
100001,2022-03-29,61.1276
100001,2022-03-30,60.2619
100001,2022-03-31,58.9855
100001,2022-04-01,59.3441
100001,2022-04-04,59.5513
100001,2022-04-05,59.0999
100001,2022-04-06,59.4471
100001,2022-04-07,58.6666
100001,2022-04-08,58.4563
100001,2022-04-11,58.3325
100001,2022-04-12,57.7711
100001,2022-04-13,57.2178
100001,2022-04-14,55.8791
100001,2022-04-15,55.595
100001,2022-04-18,54.4055
100001,2022-04-19,54.4764
100001,2022-04-20,54.8747
100001,2022-04-21,54.5638
100001,2022-04-22,54.2467
100001,2022-04-25,54.6376
100001,2022-04-26,54.7169
100001,2022-04-27,54.7466
100001,2022-04-28,54.8336
100001,2022-04-29,54.8463
100001,2022-05-02,55.0184
100001,2022-05-03,55.701
100001,2022-05-04,56.0683
100001,2022-05-05,56.1354
100001,2022-05-06,55.9174
100001,2022-05-09,57.2098
100001,2022-05-10,57.2981
100001,2022-05-11,57.5126
100001,2022-05-12,57.9867
100001,2022-05-13,58.1589
100001,2022-05-16,59.5785
100001,2022-05-17,59.5733
100001,2022-05-18,57.9154
100001,2022-05-19,56.9077
100001,2022-05-20,56.2973
100001,2022-05-23,56.6991
100001,2022-05-24,57.1192
100001,2022-05-25,56.4426
100001,2022-05-26,56.8337
100001,2022-05-27,56.58
100001,2022-05-30,55.588
100001,2022-05-31,54.6174
100001,2022-06-01,54.8416
100001,2022-06-02,54.9377
100001,2022-06-03,54.9587
100001,2022-06-06,54.0402
100001,2022-06-07,54.8009
100001,2022-06-08,55.5471
100001,2022-06-09,55.8844
100001,2022-06-10,55.7467
100001,2022-06-13,55.717
100001,2022-06-14,55.6509
100001,2022-06-15,55.1935
100001,2022-06-16,56.6301
100001,2022-06-17,54.9314
100001,2022-06-20,54.416
100001,2022-06-21,55.8636
100001,2022-06-22,56.1887
100001,2022-06-23,56.2922
100001,2022-06-24,56.3904
100001,2022-06-27,57.2458
100001,2022-06-28,57.3005
100001,2022-06-29,57.2389
100001,2022-06-30,58.2148
100001,2022-07-01,58.1485
100001,2022-07-04,57.7617
100001,2022-07-05,57.8023
100001,2022-07-06,58.6779
100001,2022-07-07,58.7409
100001,2022-07-08,58.6986
100001,2022-07-11,59.0089
100001,2022-07-12,58.0066
100001,2022-07-13,60.656
100001,2022-07-14,61.5878
100001,2022-07-15,61.5951
100001,2022-07-18,61.5642
100001,2022-07-19,61.2591
100001,2022-07-20,61.8982
100001,2022-07-21,61.368
100001,2022-07-22,60.9661
100001,2022-07-25,60.8417
100001,2022-07-26,59.7308
100001,2022-07-27,60.2109
100001,2022-07-28,59.8098
100001,2022-07-29,59.4036
100001,2022-08-01,58.1706
100001,2022-08-02,58.2168
100001,2022-08-03,58.2468
100001,2022-08-04,58.1643
100001,2022-08-05,57.9626
100001,2022-08-08,57.7505
100001,2022-08-09,57.4485
100001,2022-08-10,57.5692
100001,2022-08-11,56.9406
100001,2022-08-12,56.3037
100001,2022-08-15,55.8135
100001,2022-08-16,55.8636
100001,2022-08-17,55.8199
100001,2022-08-18,56.273
100001,2022-08-19,55.9555
100001,2022-08-22,55.8924
100001,2022-08-23,55.6073
100001,2022-08-24,55.8312
100001,2022-08-25,56.3826
100001,2022-08-26,56.3697
100001,2022-08-29,55.7407
100001,2022-08-30,55.3184
100001,2022-08-31,54.3686
100001,2022-09-01,55.0894
100001,2022-09-02,54.7857
100001,2022-09-05,55.7756
100001,2022-09-06,55.224
100001,2022-09-07,55.1294
100001,2022-09-08,55.7379
100001,2022-09-09,56.1186
100001,2022-09-12,56.0402
100001,2022-09-13,56.1715
100001,2022-09-14,55.3648
100001,2022-09-15,55.1583
100001,2022-09-16,56.373
100001,2022-09-19,57.0613
100001,2022-09-20,58.228
100001,2022-09-21,56.0008
100001,2022-09-22,56.0289
100001,2022-09-23,55.6712
100001,2022-09-26,55.8556
100001,2022-09-27,56.4077
100001,2022-09-28,57.8633
100001,2022-09-29,58.1068
100001,2022-09-30,58.8093
100001,2022-10-03,60.0028
100001,2022-10-04,59.562
100001,2022-10-05,59.8735
100001,2022-10-06,59.9725
100001,2022-10-07,60.613
100001,2022-10-10,59.623
100001,2022-10-11,60.98
100001,2022-10-12,60.27
100001,2022-10-13,59.9052
100001,2022-10-14,59.2567
100001,2022-10-17,59.5971
100001,2022-10-18,60.6074
100001,2022-10-19,60.0818
100001,2022-10-20,60.683
100001,2022-10-21,60.7654
100001,2022-10-24,60.3572
100001,2022-10-25,59.7282
100001,2022-10-26,59.4401
100001,2022-10-27,60.7032
100001,2022-10-28,59.8263
100001,2022-10-31,59.4369
100001,2022-11-01,59.7676
100001,2022-11-02,60.1562
100001,2022-11-03,61.2444
