transaction_id,investor_id,amfi_code,date,transaction_type,amount,state
TXN000001,INV00001,100007,2022-01-18,SIP,1000.0,Karnataka
TXN000002,INV00001,100007,2022-02-17,SIP,1000.0,Karnataka
TXN000003,INV00001,100007,2022-03-24,SIP,1000.0,Karnataka
TXN000004,INV00001,100007,2022-04-24,SIP,1000.0,Karnataka
TXN000005,INV00001,100007,2022-05-28,SIP,1000.0,Karnataka
TXN000006,INV00001,100007,2022-06-29,SIP,1000.0,Karnataka
TXN000007,INV00001,100007,2022-08-01,SIP,1000.0,Karnataka
TXN000008,INV00001,100007,2022-08-30,SIP,1000.0,Karnataka
TXN000009,INV00001,100007,2022-10-01,SIP,1000.0,Karnataka
TXN000010,INV00001,100007,2022-10-29,SIP,1000.0,Karnataka
TXN000011,INV00001,100007,2022-11-26,SIP,1000.0,Karnataka
TXN000012,INV00001,100007,2022-12-25,SIP,1000.0,Karnataka
TXN000013,INV00001,100007,2023-01-28,SIP,1000.0,Karnataka
TXN000014,INV00001,100007,2023-02-24,SIP,1000.0,Karnataka
TXN000015,INV00001,100007,2023-04-01,SIP,1000.0,Karnataka
TXN000016,INV00001,100007,2023-04-21,SIP,1000.0,Karnataka
TXN000017,INV00001,100007,2023-05-22,SIP,1000.0,Karnataka
TXN000018,INV00001,100007,2023-06-20,SIP,1000.0,Karnataka
TXN000019,INV00001,100007,2023-07-26,SIP,1000.0,Karnataka
TXN000020,INV00001,100007,2023-08-19,SIP,1000.0,Karnataka
TXN000021,INV00001,100007,2023-09-13,SIP,1000.0,Karnataka
TXN000022,INV00001,100007,2023-10-11,SIP,1000.0,Karnataka
TXN000023,INV00001,100007,2023-11-09,SIP,1000.0,Karnataka
TXN000024,INV00001,100007,2023-12-12,SIP,1000.0,Karnataka
TXN000025,INV00001,100007,2024-01-10,SIP,1000.0,Karnataka
TXN000026,INV00001,100007,2024-02-12,SIP,1000.0,Karnataka
TXN000027,INV00001,100007,2024-03-11,SIP,1000.0,Karnataka
TXN000028,INV00001,100007,2024-04-10,SIP,1000.0,Karnataka
TXN000029,INV00001,100007,2024-05-03,SIP,1000.0,Karnataka
TXN000030,INV00001,100007,2024-05-30,SIP,1000.0,Karnataka
TXN000031,INV00001,100007,2024-07-03,SIP,1000.0,Karnataka
TXN000032,INV00001,100007,2024-07-31,SIP,1000.0,Karnataka
TXN000033,INV00001,100007,2024-08-30,SIP,1000.0,Karnataka
TXN000034,INV00001,100007,2024-09-28,SIP,1000.0,Karnataka
TXN000035,INV00001,100007,2024-10-23,SIP,1000.0,Karnataka
TXN000036,INV00001,100007,2024-11-24,SIP,1000.0,Karnataka
TXN000037,INV00001,100007,2024-12-21,SIP,1000.0,Karnataka
TXN000038,INV00001,100007,2025-01-18,SIP,1000.0,Karnataka
TXN000039,INV00001,100007,2025-02-16,SIP,1000.0,Karnataka
TXN000040,INV00001,100007,2025-03-16,SIP,1000.0,Karnataka
TXN000041,INV00001,100007,2025-04-14,SIP,1000.0,Karnataka
TXN000042,INV00001,100007,2025-05-14,SIP,1000.0,Karnataka
TXN000043,INV00001,100007,2025-06-09,SIP,1000.0,Karnataka
TXN000044,INV00001,100007,2025-07-05,SIP,1000.0,Karnataka
TXN000045,INV00001,100007,2025-07-29,SIP,1000.0,Karnataka
TXN000046,INV00001,100007,2025-08-21,SIP,1000.0,Karnataka
TXN000047,INV00001,100007,2025-09-23,SIP,1000.0,Karnataka
TXN000048,INV00001,100007,2025-10-25,SIP,1000.0,Karnataka
TXN000049,INV00001,100007,2025-11-23,SIP,1000.0,Karnataka
TXN000050,INV00001,100007,2025-12-20,SIP,1000.0,Karnataka
TXN000051,INV00002,100007,2022-08-18,SIP,2000.0,Karnataka
TXN000052,INV00002,100007,2022-09-16,SIP,2000.0,Karnataka
TXN000053,INV00002,100007,2022-10-15,SIP,2000.0,Karnataka
TXN000054,INV00002,100007,2022-11-15,SIP,2000.0,Karnataka
TXN000055,INV00002,100007,2022-12-17,SIP,2000.0,Karnataka
TXN000056,INV00002,100007,2023-01-18,SIP,2000.0,Karnataka
TXN000057,INV00002,100007,2023-02-14,SIP,2000.0,Karnataka
TXN000058,INV00002,100007,2023-03-14,SIP,2000.0,Karnataka
TXN000059,INV00002,100007,2023-04-14,SIP,2000.0,Karnataka
TXN000060,INV00002,100007,2023-05-10,SIP,2000.0,Karnataka
TXN000061,INV00002,100007,2023-06-07,SIP,2000.0,Karnataka
TXN000062,INV00002,100007,2023-07-09,SIP,2000.0,Karnataka
TXN000063,INV00002,100007,2023-07-31,SIP,2000.0,Karnataka
TXN000064,INV00002,100007,2023-08-31,SIP,2000.0,Karnataka
TXN000065,INV00002,100007,2023-09-29,SIP,2000.0,Karnataka
TXN000066,INV00002,100007,2023-10-26,SIP,2000.0,Karnataka
TXN000067,INV00002,100007,2023-11-28,SIP,2000.0,Karnataka
TXN000068,INV00002,100007,2023-12-31,SIP,2000.0,Karnataka
TXN000069,INV00002,100007,2024-02-01,SIP,2000.0,Karnataka
TXN000070,INV00002,100007,2024-03-08,SIP,2000.0,Karnataka
TXN000071,INV00002,100007,2024-04-05,SIP,2000.0,Karnataka
TXN000072,INV00002,100007,2024-05-05,SIP,2000.0,Karnataka
TXN000073,INV00002,100007,2024-05-31,SIP,2000.0,Karnataka
TXN000074,INV00002,100007,2024-07-01,SIP,2000.0,Karnataka
TXN000075,INV00002,100007,2024-08-02,SIP,2000.0,Karnataka
TXN000076,INV00002,100007,2024-09-02,SIP,2000.0,Karnataka
TXN000077,INV00002,100007,2024-10-01,SIP,2000.0,Karnataka
TXN000078,INV00002,100007,2024-11-01,SIP,2000.0,Karnataka
TXN000079,INV00002,100007,2024-11-30,SIP,2000.0,Karnataka
TXN000080,INV00002,100007,2025-01-03,SIP,2000.0,Karnataka
TXN000081,INV00002,100007,2025-01-31,SIP,2000.0,Karnataka
TXN000082,INV00002,100007,2025-02-26,SIP,2000.0,Karnataka
TXN000083,INV00002,100007,2025-03-25,SIP,2000.0,Karnataka
TXN000084,INV00002,100007,2025-04-20,SIP,2000.0,Karnataka
TXN000085,INV00002,100007,2025-05-18,SIP,2000.0,Karnataka
TXN000086,INV00002,100007,2025-06-16,SIP,2000.0,Karnataka
TXN000087,INV00002,100007,2025-07-22,SIP,2000.0,Karnataka
TXN000088,INV00002,100007,2025-08-18,SIP,2000.0,Karnataka
TXN000089,INV00002,100007,2025-09-18,SIP,2000.0,Karnataka
TXN000090,INV00002,100007,2025-10-15,SIP,2000.0,Karnataka
TXN000091,INV00002,100007,2025-11-11,SIP,2000.0,Karnataka
TXN000092,INV00002,100007,2025-12-10,SIP,2000.0,Karnataka
TXN000093,INV00003,100002,2022-05-01,SIP,500.0,Uttar Pradesh
TXN000094,INV00003,100002,2022-06-03,SIP,500.0,Uttar Pradesh
TXN000095,INV00003,100002,2022-06-29,SIP,500.0,Uttar Pradesh
TXN000096,INV00003,100002,2022-07-23,SIP,500.0,Uttar Pradesh
TXN000097,INV00003,100002,2022-08-12,SIP,500.0,Uttar Pradesh
TXN000098,INV00003,100002,2022-09-09,SIP,500.0,Uttar Pradesh
TXN000099,INV00003,100002,2022-10-08,SIP,500.0,Uttar Pradesh
TXN000100,INV00003,100002,2022-11-11,SIP,500.0,Uttar Pradesh
TXN000101,INV00003,100010,2024-01-19,Lumpsum,25000.0,Uttar Pradesh
TXN000102,INV00003,100026,2024-03-29,Lumpsum,100000.0,Uttar Pradesh
TXN000103,INV00004,100006,2024-07-15,SIP,2500.0,Uttar Pradesh
TXN000104,INV00004,100006,2024-08-11,SIP,2500.0,Uttar Pradesh
TXN000105,INV00004,100006,2024-09-08,SIP,2500.0,Uttar Pradesh
TXN000106,INV00004,100006,2024-10-10,SIP,2500.0,Uttar Pradesh
TXN000107,INV00004,100006,2024-11-06,SIP,2500.0,Uttar Pradesh
TXN000108,INV00004,100006,2024-12-05,SIP,2500.0,Uttar Pradesh
TXN000109,INV00004,100006,2025-01-09,SIP,2500.0,Uttar Pradesh
TXN000110,INV00004,100006,2025-02-10,SIP,2500.0,Uttar Pradesh
TXN000111,INV00004,100006,2025-03-17,SIP,2500.0,Uttar Pradesh
TXN000112,INV00004,100006,2025-04-19,SIP,2500.0,Uttar Pradesh
TXN000121,INV00004,100022,2025-05-19,Lumpsum,50000.0,Uttar Pradesh
TXN000113,INV00004,100006,2025-05-21,SIP,2500.0,Uttar Pradesh
TXN000122,INV00004,100008,2025-06-01,Lumpsum,25000.0,Uttar Pradesh
TXN000114,INV00004,100006,2025-06-20,SIP,2500.0,Uttar Pradesh
TXN000115,INV00004,100006,2025-07-23,SIP,2500.0,Uttar Pradesh
TXN000116,INV00004,100006,2025-08-22,SIP,2500.0,Uttar Pradesh
TXN000117,INV00004,100006,2025-09-18,SIP,2500.0,Uttar Pradesh
TXN000118,INV00004,100006,2025-10-16,SIP,2500.0,Uttar Pradesh
TXN000119,INV00004,100006,2025-11-17,SIP,2500.0,Uttar Pradesh
TXN000120,INV00004,100006,2025-12-15,SIP,2500.0,Uttar Pradesh
TXN000123,INV00005,100023,2023-05-07,SIP,500.0,West Bengal
TXN000124,INV00005,100023,2023-06-03,SIP,500.0,West Bengal
TXN000125,INV00005,100023,2023-06-27,SIP,500.0,West Bengal
TXN000126,INV00005,100023,2023-07-18,SIP,500.0,West Bengal
TXN000127,INV00005,100023,2023-08-15,SIP,500.0,West Bengal
TXN000128,INV00005,100023,2023-09-20,SIP,500.0,West Bengal
TXN000129,INV00005,100023,2023-10-22,SIP,500.0,West Bengal
TXN000130,INV00006,100033,2023-08-10,SIP,2000.0,Uttar Pradesh
TXN000131,INV00006,100033,2023-09-07,SIP,2000.0,Uttar Pradesh
