amfi_code,beta,alpha_annualized,r_squared,p_value,std_err,fund_name,category
100039,0.07755845143199572,0.07535412353231803,0.2004287418258292,3.1696421006013476e-65,0.00429476166492797,Sundaram Debt - Short Duration Fund - Direct Growth,Debt - Short Duration
100015,1.166992024462536,0.07493321289824369,0.7530059196901637,0.0,0.018529910293848678,Quant Mid Cap Fund - Direct Growth,Mid Cap
100038,0.023115601883444106,0.0712994149864589,0.023359047020499527,2.951882252117064e-08,0.004143873250024409,PGIM Debt - Short Duration Fund - Direct Growth,Debt - Short Duration
100017,1.0673940825874542,0.06834914457485969,0.5263654219119042,2.2893235344722752e-213,0.028071406104423505,Invesco Small Cap Fund - Direct Growth,Small Cap
100014,1.100647812371042,0.058001004916522866,0.6969211278129993,0.0,0.020123139705658915,Motilal Oswal Mid Cap Fund - Direct Growth,Mid Cap
100040,0.057206444875456945,0.052280046109096055,0.11703956285100146,4.39391907042549e-37,0.004356227854408024,HDFC Debt - Short Duration Fund - Direct Growth,Debt - Short Duration
100002,1.033623735094857,0.049709832014074626,0.7451841386298124,0.0,0.016757346617703204,ICICI Pru Large Cap Fund - Direct Growth,Large Cap
100034,0.6167025818282875,0.04842301139742575,0.5135430874999438,8.156107368437705e-206,0.016640672135157443,Motilal Oswal Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive
100037,0.07824746349847081,0.04780192469500707,0.20484548227093935,8.539672452795116e-67,0.004274095188500371,Invesco Debt - Short Duration Fund - Direct Growth,Debt - Short Duration
100031,1.0008401337501025,0.04637341131511097,0.6449555194032731,7.919701944705171e-295,0.02058745035684901,DSP ELSS Fund - Direct Growth,ELSS
100024,0.8761615480060763,0.04531873400629014,0.5487021028339183,5.048461437536545e-227,0.02202971526033654,Kotak Flexi Cap Fund - Direct Growth,Flexi Cap
100027,0.8433427976069304,0.04041708564236714,0.5223567095284533,5.525542968715552e-211,0.022358040783935874,UTI Flexi Cap Fund - Direct Growth,Flexi Cap
100010,1.1568963581841016,0.037541018419072224,0.7624224925332224,0.0,0.017904434820709896,Franklin Mid Cap Fund - Direct Growth,Mid Cap
100005,0.9947153175421739,0.036590474551240884,0.7302070782599713,0.0,0.016763025815352262,Nippon India Large Cap Fund - Direct Growth,Large Cap
100011,1.0765259106048288,0.035850526454444705,0.6619116285700382,1.170347219893122e-308,0.02133049579986934,DSP Mid Cap Fund - Direct Growth,Mid Cap
100025,0.9641933487357771,0.029758180297663313,0.6569642178927098,1.493029432852796e-304,0.019316317572406535,Nippon India Flexi Cap Fund - Direct Growth,Flexi Cap
100029,1.047009669682374,0.02719689087228319,0.7051869396113521,0.0,0.018768660290309474,Parag Parikh ELSS Fund - Direct Growth,ELSS
100032,1.0047762902963078,0.017141135583844246,0.6769971616420749,0.0,0.019241568694610987,Tata ELSS Fund - Direct Growth,ELSS
100033,0.6472404006322761,0.014855058568103489,0.5383558239332021,1.290732543420519e-220,0.016616744510847412,Canara Robeco Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive
